gene_symbol,hgnc_id,gene_score,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_source_dbs,best_disease_match_status,mapping_basis,second_best_disease_score,score_gap_to_second_best,disease_profile_count,input_hpo_count,scoring_hpo_count,matched_hpo_count,unmatched_hpo_count,mean_input_hpo_ic,candidate_variant_count_in_gene,gene_sources,best_term_evidence_summary,db_versions,warning,sample_id,gene_rank
KIF11,HGNC:6388,0.678654,PHENOTYPE_MATCH_MODERATE,0.678654,"Microcephaly with or without chorioretinopathy, lymphedema, or impaired intellectual development",152950,2526,MONDO:0007918,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,8,0,4.941108,1,annotated_gene,HP:0001112->HP:0000587:0.483;HP:0000572->HP:0000572:1.000;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000587:1.000;HP:0001103->HP:0000556:0.639;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000587:0.965,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,1
ARHGEF18,HGNC:17090,0.649057,PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791,MONDO:0019200,ORPHA,separate_orpha_record,none,0.594668,0.054390,2,8,8,8,0,4.941108,2,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0011505:0.757;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,2
EYS,HGNC:21555,0.649057,PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791,MONDO:0019200,ORPHA,separate_orpha_record,none,0.489667,0.159390,2,8,8,8,0,4.941108,8,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0011505:0.757;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,3
IMPDH1,HGNC:6052,0.649057,PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791,MONDO:0019200,ORPHA,separate_orpha_record,none,0.591602,0.057455,4,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0011505:0.757;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,4
KIZ,HGNC:15865,0.649057,PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791,MONDO:0019200,ORPHA,separate_orpha_record,none,0.514390,0.134668,2,8,8,8,0,4.941108,6,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0011505:0.757;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,5
RP1,HGNC:10263,0.649057,PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791,MONDO:0019200,ORPHA,separate_orpha_record,none,0.579538,0.069519,2,8,8,8,0,4.941108,1,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0011505:0.757;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,6
SCAPER,HGNC:13081,0.649057,PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791,MONDO:0019200,ORPHA,separate_orpha_record,none,0.606785,0.042272,3,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0011505:0.757;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,7
SPATA7,HGNC:20423,0.649057,PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791,MONDO:0019200,ORPHA,separate_orpha_record,none,0.625427,0.023630,4,8,8,8,0,4.941108,5,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0011505:0.757;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,8
VPS13B,HGNC:2183,0.645992,PHENOTYPE_MATCH_MODERATE,0.645992,Cohen syndrome,216550,193,MONDO:0008999,OMIM;ORPHA,matched_same_disease,MONDO_equivalentTo,,,1,8,8,8,0,4.941108,2,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000505:0.714;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0011504:0.725;HP:0001117->HP:0007663:0.554;HP:0032122->HP:0007663:0.534;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,9
GALC,HGNC:4115,0.636554,PHENOTYPE_MATCH_MODERATE,0.636554,Infantile Krabbe disease,,206436,MONDO:0016089,ORPHA,separate_orpha_record,none,0.590747,0.045806,4,8,8,8,0,4.941108,8,annotated_gene,HP:0001112->HP:0000648:0.460;HP:0000572->HP:0000572:1.000;HP:0000648->HP:0000648:1.000;HP:0000587->HP:0000648:0.906;HP:0001103->HP:0000648:0.554;HP:0001117->HP:0000618:0.497;HP:0032122->HP:0000618:0.481;HP:0012795->HP:0000648:0.941,HPO:2026-02-16;HPOA:2026-02-16;MONDO:2026-05-05;OMIM:2025-04-11,,hpo_list,10
