gene,in_network,disease_score,tissue_score,topology_score,ppi_final,score_mode,score_weight_sum,note,gene_in_d,gene_d_evidence_score,gene_in_t,gene_t_weight,mapped_tissues_json,d_gene_count,t_gene_count
CDC42,True,1.0,1.0,0.9983970610698556,0.9995992652674639,FULL_ANCHOR,1.0,OK,True,2.1,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
GRB2,True,0.8,1.0,0.9928568548704291,0.9382142137176073,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
SKP1,True,0.8,1.0,0.9804117733093995,0.9351029433273499,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
CLTC,True,0.8,1.0,0.966104651254829,0.9315261628137073,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
USP7,True,0.8,1.0,0.9532662616355128,0.9283165654088781,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
DNMT1,True,1.0,0.8333333333333333,0.9548872542649283,0.9137218135662322,FULL_ANCHOR,1.0,OK,True,2.1,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
OXA1L,True,0.8,1.0,0.8619921083110365,0.9054980270777591,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
DNM2,True,0.8,1.0,0.8133199664660653,0.8933299916165163,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
ITGAV,True,0.8,1.0,0.7791219026162328,0.8847804756540582,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
ERCC6,True,1.0,0.8,0.8566833673148253,0.8741708418287064,FULL_ANCHOR,1.0,OK,True,2.1,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
EP300,True,0.8,0.8333333333333333,0.9985448530008877,0.8646362132502219,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
ITGB1,True,0.8,0.8333333333333333,0.980470232430334,0.8601175581075835,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
ACO2,True,0.8,0.8333333333333333,0.9681917457028768,0.8570479364257192,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
CDCA8,True,0.8,0.8333333333333333,0.9649298426855952,0.8562324606713988,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
SOD2,True,0.8,0.8333333333333333,0.9622124293607981,0.8555531073401995,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
ESR1,True,0.8,0.8,0.9991189238802225,0.8497797309700557,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
CDH1,True,0.8,0.8,0.9970016160103978,0.8492504040025995,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
CALML3,True,0.8,0.8,0.996680536830994,0.8491701342077486,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
IGF1,True,0.8,0.8,0.9919957090241605,0.8479989272560402,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
U2AF2,True,0.56,1.0,0.9111844206894211,0.8457961051723553,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
PXDNL,True,0.8,0.8,0.9746893776554997,0.843672344413875,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
MRPS6,True,0.56,1.0,0.8961500060415547,0.8420375015103887,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
HNRNPM,True,0.56,1.0,0.8886633365052363,0.8401658341263091,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
CAPZB,True,0.8,0.8333333333333333,0.8914488162190555,0.8378622040547639,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
NTRK1,True,0.8,0.8,0.9319764105529846,0.8329941026382462,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
NSF,True,0.8,0.8333333333333333,0.8643927516010618,0.8310981879002655,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
RUVBL1,True,0.44,1.0,0.9806998373477716,0.827174959336943,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
CLTCL1,True,0.8,0.8333333333333333,0.8413386400937436,0.8253346600234359,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
TBCD,True,1.0,0.8333333333333333,0.5948275135194933,0.8237068783798733,FULL_ANCHOR,1.0,OK,True,2.1,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
DENR,True,0.8,0.8333333333333333,0.8305304683455703,0.8226326170863926,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
PTK2,True,0.6799999999999999,0.8333333333333333,0.9409863193252792,0.8142465798313198,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
SAMM50,True,0.8,0.8333333333333333,0.7969713210910645,0.8142428302727661,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
SNW1,True,0.44,1.0,0.9277681544630176,0.8139420386157545,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
HMGB1,True,0.44,1.0,0.8890189861656994,0.8042547465414249,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
JUP,True,0.6799999999999999,0.8333333333333333,0.896054332776228,0.803013583194057,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
TLN1,True,0.6799999999999999,0.8333333333333333,0.8954670521453916,0.8028667630363479,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
TNFRSF11A,True,1.0,0.8,0.5663324291784246,0.8015831072946062,FULL_ANCHOR,1.0,OK,True,2.1,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
PSMD12,True,0.44,1.0,0.8773560817948068,0.8013390204487018,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
MTPAP,True,1.0,0.8333333333333333,0.49815443842819873,0.7995386096070497,FULL_ANCHOR,1.0,OK,True,2.1,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
