final_rank,gene,combined_score,gene_score,ppi_final,in_network,disease_score,tissue_score,topology_score,score_mode,score_weight_sum,note,gene_in_d,gene_d_evidence_score,gene_in_t,gene_t_weight,mapped_tissues_json,d_gene_count,t_gene_count,gene_rank,ppi_rank,best_pathogenic_rank,variant_row_count,max_cadd_phred,mapped_tissues,mapped_tissue_counts_json,conclusion_code,best_disease_score,best_disease_name,best_omim_id,best_orpha_id,best_mondo_id,best_disease_match_status,mapping_basis
1,CDC42,0.810835132633732,0.622071,0.9995992652674639,True,1.0,1.0,0.9983970610698556,FULL_ANCHOR,1.0,OK,True,2.1,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370,13.0,1,,5.0,0.142,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.622071,Takenouchi-Kosaki syndrome,616737.0,487796.0,MONDO:0014757,matched_same_disease,MONDO_equivalentTo
2,CLTC,0.7530355814068537,0.574545,0.9315261628137073,True,0.8,1.0,0.966104651254829,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370,37.0,4,,10.0,0.875,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835.0,MONDO:0018614,separate_orpha_record,none
3,ACO2,0.7434439682128595,0.62984,0.8570479364257192,True,0.8,0.8333333333333333,0.9681917457028768,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370,12.0,13,,5.0,0.569,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.62984,Optic atrophy 9,616289.0,,MONDO:0014571,separate_omim_record,none
4,ERCC6,0.7336254209143532,0.59308,0.8741708418287064,True,1.0,0.8,0.8566833673148253,FULL_ANCHOR,1.0,OK,True,2.1,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370,23.0,10,,4.0,8.287,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.59308,COFS syndrome,,1466.0,MONDO:0008926,separate_orpha_record,none
5,GALC,0.7038637695330656,0.636554,0.7711735390661312,True,1.0,0.6666666666666666,0.6846941562645247,FULL_ANCHOR,1.0,OK,True,2.1,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,10.0,66,,6.0,1.0,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.636554,Infantile Krabbe disease,,206436.0,MONDO:0016089,separate_orpha_record,none
6,KIF11,0.6928436178447837,0.678654,0.7070332356895672,True,0.56,0.6666666666666666,0.9561329427582689,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,1.0,147,,1.0,0.559,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.678654,"Microcephaly with or without chorioretinopathy, lymphedema, or impaired intellectual development",152950.0,2526.0,MONDO:0007918,matched_same_disease,MONDO_equivalentTo
7,DNMT1,0.6882354067831161,0.462749,0.9137218135662322,True,1.0,0.8333333333333333,0.9548872542649283,FULL_ANCHOR,1.0,OK,True,2.1,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370,116.0,6,,5.0,2.423,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_WEAK,0.462749,"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant",604121.0,314404.0,MONDO:0011397,matched_same_disease,MONDO_equivalentTo
8,TNFRSF11A,0.6849270536473031,0.568271,0.8015831072946062,True,1.0,0.8,0.5663324291784246,FULL_ANCHOR,1.0,OK,True,2.1,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370,52.0,37,,5.0,3.881,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.568271,"Osteopetrosis, autosomal recessive 7",612301.0,,MONDO:0012859,separate_omim_record,none
9,IMPDH1,0.6824935094538791,0.649057,0.7159300189077582,True,0.8,0.6666666666666666,0.7037200756310329,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370,4.0,131,,5.0,0.693,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.649057,Retinitis pigmentosa,,791.0,MONDO:0019200,separate_orpha_record,none
10,SCN1A,0.6813344424411627,0.574545,0.7881238848823255,True,0.8,0.8,0.7524955395293016,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370,46.0,49,,5.0,0.859,"eye,nerve,retina","{""eye"": 4, ""nerve"": 3, ""retina"": 1}",PHENOTYPE_MATCH_MODERATE,0.574545,Non-specific early-onset epileptic encephalopathy,,442835.0,MONDO:0018614,separate_orpha_record,none
