url,registration_number,registration_status,registration_date,public_title,scientific_title,applicant,study_leader,applicant_institution,approved,primary_sponsor,source_funding,study_type,study_objective,study_ailment,study_ailment_code,intervention,study_design,study_stage,recruitment_status,inclusion_criteria,exclusion_criteria,study_time_from,study_time_to,sample_size,outcomes,collecting_samples,time_sharing
https://www.chictr.org.cn/showproj.html?proj=326630,ChiCTR2600126358,,2026/06/08,蛋白补充结合抗阻训练对大学生重复运动能力、力量耐力及血液指标的影响：随机安慰剂对照研究,,,,广州体育学院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=298400,ChiCTR2600126357,,2026/06/08,皮瓣危象的危险因素回顾性分析及预测模型构建,,,,上海交通大学医学院附属第九人民医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=305170,ChiCTR2600126356,,2026/06/08,可变速率反馈输注型vs普通型患者自控镇痛泵在腹腔镜结直肠癌术后镇痛中的应用：一项多中心、前瞻性、随机对照研究,,,,郑州大学第一附属医院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=327045,ChiCTR2600126355,,2026/06/08,脑小血管病影像学总负荷在同型半胱氨酸与淡漠症状关联中的中介作用研究,,,,辽宁崇文厚德医院(有限公司),,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=326805,ChiCTR2600126354,,2026/06/08,1927nm 非剥脱点阵激光治疗眼周和口周皱纹的有效性与安全性研究,,,,四川大学华西医院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=322869,ChiCTR2600126353,,2026/06/08,米诺地尔泡沫联合微针治疗斑秃的效果观察研究,,,,中南大学湘雅三医院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=324988,ChiCTR2600126352,,2026/06/08,经皮肺动脉去神经术（PADN）治疗高脑卒中风险，有症状的非瓣膜性持续性心房颤动（房颤）合并肺高压患者的观察性队列研究,,,,武汉大学中南医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=325338,ChiCTR2600126351,,2026/06/08,基于运动生物力学特征的排球运动员扣球落地阶段膑腱病损伤识别与分析,,,,北京体育大学,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=324978,ChiCTR2600126350,,2026/06/08,咪达唑仑用于女性甲状腺手术患者术后静脉自控镇痛预防 PONV 的 效果研究：一项随机、双盲、对照临床试验,,,,山东大学齐鲁医院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=322359,ChiCTR2600126349,,2026/06/08,APOE4 基因型和肠菌互作对 AD 进展的相关性研究：一项单中心、前瞻性队列研究,,,,广东医科大学附属医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=322129,ChiCTR2600126348,,2026/06/08,建立皮肤病数字图片库，规范护理临床技能考核,,,,核工业四一六医院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=319946,ChiCTR2600126347,,2026/06/08,改良头静脉入路应用于心脏永久起搏器植入术的临床研究,,,,复旦大学附属华山医院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=325609,ChiCTR2600126346,,2026/06/08,连续无创血红蛋白浓度监测在宫腔镜手术患者液体耐受性评估中的应用,,,,北京大学第三医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=326085,ChiCTR2600126345,,2026/06/08,海南地区肝脓肿临床特征、病原谱及危险因素分析,,,,海南医科大学第二附属医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=301276,ChiCTR2600126344,,2026/06/08,零食式抗阻联合五禽戏对养老机构肌少症老年人的效果研究,,,,吉林大学护理学院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=325579,ChiCTR2600126343,,2026/06/08,射频微针联合涂抹型胶原再生敷料治疗严重妊娠纹的临床效果回顾性研究,,,,南方医科大学南方医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=325509,ChiCTR2600126342,,2026/06/08,机器人辅助微创钢板接骨术（RA-MIPO）的研究,,,,首都医科大学附属北京积水潭医院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=327138,ChiCTR2600126341,,2026/06/08,持续血糖监测指导的血糖管理对冠脉搭桥手术预后的研究,,,,上海市老年医学中心,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=322806,ChiCTR2600126340,,2026/06/08,基于中山市婴幼儿牛奶蛋白过敏真实世界的调查研究,,,,中山市人民医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=323086,ChiCTR2600126339,,2026/06/08,心血管-肾脏-代谢综合征认知评估前瞻性队列研究,,,,淮安市第一人民医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=290770,ChiCTR2600126338,,2026/06/08,机器人与腹腔镜右半结肠癌手术疗效比较的多中心、回顾性、目标试验模拟研究,,,,浙江大学医学院附属邵逸夫医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=323166,ChiCTR2600126337,,2026/06/08,注射用经应激诱导的间充质干细胞衍生物ALT001促进脑出血恢复期患者神经功能修复的安全性和有效性研究,,,,华中科技大学同济医学院附属同济医院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=326248,ChiCTR2600126336,,2026/06/08,人工智能辅助重度哮喘精准分型研究,,,,上海市第一人民医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=323859,ChiCTR2600126335,,2026/06/08,夜间禁食的肠内营养方式是否对误吸预防及血糖控制更加有效,,,,南方医科大学南方医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=327098,ChiCTR2600126334,,2026/06/08,音乐经验影响听损人群频率跟随反应表征的多模态神经标记物研究,,,,四川大学华西医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=322739,ChiCTR2600126333,,2026/06/08,近视屈光度与角膜生物力学的相关性研究,,,,温州医科大学附属眼视光医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=327068,ChiCTR2600126332,,2026/06/08,肺部小结节影像与病理对照分析,,,,眉山市人民医院,,,,观察性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=322279,ChiCTR2600126331,,2026/06/08,基于风险管理理论的主动脉夹层患者术后隐性误吸发生机制及干预研究,,,,福建医科大学附属协和医院,,,,干预性研究,,,,,,,,,,,,0,,,
https://www.chictr.org.cn/showproj.html?proj=319399,ChiCTR2600126330,,2026/06/08,右美托咪定联合经皮耳迷走神经电刺激对老年患者术后谵妄的影响：一项随机对照试验,,,,江南大学附属医院,,,,干预性研究,,,,,,,,,,,,0,,,
